system:index,.geo,Latitude,Longitude,Predicted_LST
101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59872003045457,12.8041369021976]}",12.804137,77.59872,35.540585
102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.609499813864,12.8041369021976]}",12.804137,77.6095,34.526585
103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65261894750174,12.8041369021976]}",12.804137,77.652619,35.53972
104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69394145057124,12.8041369021976]}",12.804137,77.693941,35.451717
105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70292460341243,12.8041369021976]}",12.804137,77.702925,32.91773
106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7056195492648,12.8041369021976]}",12.804137,77.70562,33.896164
107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72178922437894,12.8041369021976]}",12.804137,77.721789,35.956146
108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.79185781654027,12.8041369021976]}",12.804137,77.791858,35.3968
109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43343001817658,12.80503521748172]}",12.805035,77.43343,33.772644
110,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45858284613192,12.80503521748172]}",12.805035,77.458583,37.75674
111,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46487105312076,12.80503521748172]}",12.805035,77.464871,38.5172
112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47744746709843,12.80503521748172]}",12.805035,77.477447,38.20998
113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49271882692847,12.80503521748172]}",12.805035,77.492719,37.518845
114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53673627585032,12.80503521748172]}",12.805035,77.536736,35.092377
115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54302448283916,12.80503521748172]}",12.805035,77.543024,37.975742
116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55021100511212,12.80503521748172]}",12.805035,77.550211,36.427593
117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55739752738508,12.80503521748172]}",12.805035,77.557398,35.513405
118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57536383306746,12.80503521748172]}",12.805035,77.575364,33.012493
119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.609499813864,12.80503521748172]}",12.805035,77.6095,34.49242
120,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6274661195464,12.80503521748172]}",12.805035,77.627466,34.78618
121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62836443483052,12.80503521748172]}",12.805035,77.628364,33.867264
122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64722905579703,12.80503521748172]}",12.805035,77.647229,36.0011
123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65351726278585,12.80503521748172]}",12.805035,77.653517,34.03483
124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68405998244593,12.80503521748172]}",12.805035,77.68406,34.136864
125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69304313528711,12.80503521748172]}",12.805035,77.693043,35.59616
126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70112797284419,12.80503521748172]}",12.805035,77.701128,35.18588
127,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73167069250425,12.80503521748172]}",12.805035,77.731671,36.834755
128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74155216062957,12.80503521748172]}",12.805035,77.741552,34.94868
129,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75053531347076,12.80503521748172]}",12.805035,77.750535,35.23773
130,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75143362875488,12.80503521748172]}",12.805035,77.751434,35.989216
131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7801797178467,12.80503521748172]}",12.805035,77.78018,33.673473
132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78467129426731,12.80503521748172]}",12.805035,77.784671,33.93743
133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.79455276239263,12.80503521748172]}",12.805035,77.794553,34.688663
134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4253451806195,12.80593353276584]}",12.805934,77.425345,32.205826
135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.42893844175597,12.80593353276584]}",12.805934,77.428938,34.51737
136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43792159459717,12.80593353276584]}",12.805934,77.437922,34.05076
137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46127779198429,12.80593353276584]}",12.805934,77.461278,39.46329
138,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4801424129508,12.80593353276584]}",12.805934,77.480142,35.317944
139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48193904351903,12.80593353276584]}",12.805934,77.481939,37.74353
140,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48373567408727,12.80593353276584]}",12.805934,77.483736,36.30498
141,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50978681732674,12.80593353276584]}",12.805934,77.509787,39.25196
142,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56727899551039,12.80593353276584]}",12.805934,77.567279,33.136265
143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67417851432062,12.80593353276584]}",12.805934,77.674179,34.419155
144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69124650471888,12.80593353276584]}",12.805934,77.691247,33.94343
145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70112797284419,12.80593353276584]}",12.805934,77.701128,34.44766
146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72268753966306,12.80593353276584]}",12.805934,77.722688,34.623943
147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72807743136778,12.80593353276584]}",12.805934,77.728077,36.012466
148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75143362875488,12.80593353276584]}",12.805934,77.751434,35.763607
149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76401004273256,12.80593353276584]}",12.805934,77.76401,34.246155
150,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76939993443727,12.80593353276584]}",12.805934,77.7694,33.064667
151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7801797178467,12.80593353276584]}",12.805934,77.78018,33.426514
152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41187045135771,12.806831848049958]}",12.806832,77.41187,38.703552
153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41726034306242,12.806831848049958]}",12.806832,77.41726,37.068436
154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.44510811687013,12.806831848049958]}",12.806832,77.445108,35.563694
155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46756599897311,12.806831848049958]}",12.806832,77.467566,37.260666
156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49900703391731,12.806831848049958]}",12.806832,77.499007,38.274864
157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50709187147437,12.806831848049958]}",12.806832,77.507092,37.49354
158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5124817631791,12.806831848049958]}",12.806832,77.512482,34.183495
159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5178716548838,12.806831848049958]}",12.806832,77.517872,33.04104
160,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53853290641857,12.806831848049958]}",12.806832,77.538533,33.6028
161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5448211134074,12.806831848049958]}",12.806832,77.544821,36.39719
162,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5636857343739,12.806831848049958]}",12.806832,77.563686,34.85796
163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5816520400563,12.806831848049958]}",12.806832,77.581652,28.343184
164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58704193176102,12.806831848049958]}",12.806832,77.587042,34.129997
165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5906351928975,12.806831848049958]}",12.806832,77.590635,34.283966
166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59243182346573,12.806831848049958]}",12.806832,77.592432,36.642857
167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62477117369403,12.806831848049958]}",12.806832,77.624771,34.37637
168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67148356846825,12.806831848049958]}",12.806832,77.671484,32.459534
169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70382291869656,12.806831848049958]}",12.806832,77.703823,32.907555
170,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71370438682187,12.806831848049958]}",12.806832,77.713704,33.777664
171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71909427852658,12.806831848049958]}",12.806832,77.719094,33.256577
172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72987406193602,12.806831848049958]}",12.806832,77.729874,35.40753
173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73526395364074,12.806831848049958]}",12.806832,77.735264,35.13642
174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76401004273256,12.806831848049958]}",12.806832,77.76401,34.322918
175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78467129426731,12.806831848049958]}",12.806832,77.784671,33.917286
176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41815865834654,12.807730163334078]}",12.80773,77.418159,36.018944
177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.44600643215425,12.807730163334078]}",12.80773,77.446006,34.41405
178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45858284613192,12.807730163334078]}",12.80773,77.458583,37.188988
179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47385420596196,12.807730163334078]}",12.80773,77.473854,35.788963
180,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4801424129508,12.807730163334078]}",12.80773,77.480142,37.2387
181,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48193904351903,12.807730163334078]}",12.80773,77.481939,36.315304
182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48822725050786,12.807730163334078]}",12.80773,77.488227,34.913834
183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50439692562202,12.807730163334078]}",12.80773,77.504397,37.006348
184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50619355619025,12.807730163334078]}",12.80773,77.506194,35.903294
185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54302448283916,12.807730163334078]}",12.80773,77.543024,37.00811
